5000,5,5000,5,5,34312
5000,5,5000,5,9,36375
5000,5,50000,5,6,42416
5000,5,500000,5,2,470719
5000,5,500000,5,6,272477
5000,5,20000,1,3,42170
5000,5,20000,1,4,44195
5000,5,20000,3,2,42191
5000,5,20000,3,8,42200
5000,5,20000,5,1,40181
5000,5,20000,5,7,32305
5000,5,20000,10,2,30184
5000,5,20000,30,2,26176
5000,5,20000,30,3,28193
5000,5,20000,30,9,30189
5000,5,20000,50,6,28191
5000,5,20000,50,9,30190
5000,5,20000,100,9,28186
5000,5,20000,300,4,24209
5000,5,20000,300,9,28178
50000,5,50000,5,5,92127
50000,5,50000,5,8,92122
50000,5,500000,5,6,2812292
50000,5,500000,5,9,1122017
50000,5,20000,1,9,212572
50000,5,20000,3,3,150330
50000,5,20000,5,1,220562
50000,5,20000,5,6,138348
50000,5,20000,5,9,74350
50000,5,20000,10,6,82291
50000,5,20000,30,3,46315
50000,5,20000,30,8,52232
50000,5,20000,50,3,36211
50000,5,20000,50,8,32122
50000,5,20000,100,4,24121
50000,5,20000,100,7,24112
50000,5,20000,300,5,24141
50000,5,20000,300,9,22142
50000,5,50000,5,5,94110
50000,5,20000,1,5,158151
50000,5,20000,3,9,68132
50000,5,20000,10,7,37841
50000,5,20000,50,3,26118
50000,5,20000,50,9,26139
50000,5,20000,300,5,22135
50000,5,20000,300,9,24171
20000,1,20000,3,3,108175
20000,1,20000,5,5,72123
20000,1,20000,30,3,36218
20000,1,20000,30,9,38193
20000,1,20000,100,9,32230
20000,3,20000,3,3,72227
20000,3,20000,3,9,70347
20000,3,20000,10,3,40200
20000,3,20000,50,3,28195
20000,3,20000,50,9,32188
20000,3,20000,300,5,28427
20000,5,20000,5,9,44202
20000,5,20000,10,9,36199
20000,5,20000,30,9,32264
20000,5,20000,100,5,26423
20000,5,20000,300,9,30532
20000,10,20000,10,5,34226
20000,10,20000,50,3,28351
20000,10,20000,100,3,26232
20000,10,20000,100,9,32215
20000,30,20000,30,3,30194
20000,30,20000,100,3,26200
20000,30,20000,300,3,26222
20000,50,20000,50,3,28200
20000,50,20000,300,3,24238
20000,50,20000,300,7,28492
20000,100,20000,300,7,30204
20000,100,20000,300,9,32645
500000,5,5000,5,3,300253
500000,5,20000,1,5,1835006
500000,5,20000,3,9,650420
500000,5,20000,5,9,410383
500000,5,20000,30,3,150482
500000,5,20000,50,9,70232
500000,5,20000,300,3,38261
500000,5,50000,5,5,1952915
79265,15,79265,15,12,68146
79265,15,83273,13,4,114845
79265,15,94226,20,8,64144
79265,15,34779,10,10,42130
79265,15,68326,4,10,84146
79265,15,22320,18,6,34133
79265,15,54197,18,4,62142
79265,15,20000,1,12,88135
79265,15,20000,3,10,44132
79265,15,20000,5,12,38121
79265,15,20000,10,6,38131
79265,15,20000,30,6,28128
79265,15,20000,50,10,28128
79265,15,20000,100,6,24121
79265,15,20000,300,12,26128
79265,15,50000,5,4,204138
83273,13,83273,13,10,84472
83273,13,94226,20,12,76132
83273,13,34779,10,8,50406
83273,13,68326,4,6,96123
83273,13,22320,18,12,36179
83273,13,54197,18,12,56129
83273,13,20000,1,4,104412
83273,13,20000,3,12,48118
83273,13,20000,5,8,40131
83273,13,20000,10,8,38569
83273,13,20000,30,12,32189
83273,13,20000,50,12,28138
83273,13,20000,100,4,22159
83273,13,20000,300,10,26128
83273,13,50000,5,10,108140
94226,20,94226,20,6,80122
94226,20,34779,10,12,40130
94226,20,68326,4,4,74131
94226,20,22320,18,8,34121
94226,20,54197,18,8,52123
94226,20,20000,1,6,82127
94226,20,20000,3,4,42128
94226,20,20000,5,8,38122
94226,20,20000,10,6,34135
94226,20,20000,30,6,30115
94226,20,20000,50,10,28129
94226,20,20000,100,4,24143
94226,20,20000,300,12,26129
94226,20,50000,5,12,118197
34779,10,34779,10,6,38130
34779,10,68326,4,6,64141
34779,10,22320,18,6,28117
34779,10,54197,18,8,36138
34779,10,20000,1,10,64128
34779,10,20000,3,4,34134
34779,10,20000,5,4,36129
34779,10,20000,10,8,30120
34779,10,20000,30,10,28132
34779,10,20000,50,8,24131
34779,10,20000,100,6,24118
34779,10,20000,300,10,24119
34779,10,50000,5,4,138151
68326,4,68326,4,10,240140
68326,4,22320,18,6,36128
68326,4,54197,18,8,58124
68326,4,20000,1,12,244137
68326,4,20000,3,4,98189
68326,4,20000,5,12,68147
68326,4,20000,10,8,44129
68326,4,20000,30,4,28131
68326,4,20000,50,12,28118
68326,4,20000,100,6,22136
68326,4,20000,300,12,24125
68326,4,50000,5,6,380160
22320,18,22320,18,12,28133
22320,18,54197,18,12,32113
22320,18,20000,1,12,36150
22320,18,20000,3,6,26114
22320,18,20000,5,12,28138
22320,18,20000,10,8,28116
22320,18,20000,30,12,28128
22320,18,20000,50,12,26132
22320,18,20000,100,6,24132
22320,18,20000,300,8,24127
22320,18,50000,5,12,44137
54197,18,54197,18,10,40146
54197,18,20000,1,8,58142
54197,18,20000,3,4,34152
54197,18,20000,5,4,34136
54197,18,20000,10,6,30143
54197,18,20000,30,8,28191
54197,18,20000,50,4,24111
54197,18,20000,100,6,24127
54197,18,20000,300,8,24178
54197,18,50000,5,4,124136
