t1,key1,t2,key2,reduce,time
50000,5,20000,30,5,28127
50000,5,20000,30,7,26225
50000,5,20000,30,9,28155
50000,5,20000,50,3,26118
50000,5,20000,50,5,24123
50000,5,20000,50,7,26134
50000,5,20000,50,9,26139
50000,5,20000,100,3,22133
50000,5,20000,100,5,22115
50000,5,20000,100,7,26127
50000,5,20000,100,9,24179
50000,5,20000,300,3,20184
50000,5,20000,300,5,22135
50000,5,20000,300,7,22145
50000,5,20000,300,9,24171
20000,1,20000,1,3,302211
20000,1,20000,1,5,308196
20000,1,20000,1,7,306300
20000,1,20000,1,9,306182
20000,1,20000,3,3,108175
20000,1,20000,3,5,108238
20000,1,20000,3,7,106144
20000,1,20000,3,9,108135
20000,1,20000,5,3,72134
20000,1,20000,5,5,72123
20000,1,20000,5,7,86122
20000,1,20000,5,9,108250
20000,1,20000,10,3,64203
20000,1,20000,10,5,64330
20000,1,20000,10,7,66191
20000,1,20000,10,9,62205
20000,1,20000,30,3,36218
20000,1,20000,30,5,36224
20000,1,20000,30,7,38228
20000,1,20000,30,9,38193
20000,1,20000,50,3,32198
20000,1,20000,50,5,30317
20000,1,20000,50,7,32202
20000,1,20000,50,9,32195
20000,1,20000,100,3,30192
20000,1,20000,100,5,28197
20000,1,20000,100,7,30220
20000,1,20000,100,9,32230
20000,1,20000,300,3,24203
20000,1,20000,300,5,28664
20000,1,20000,300,7,30207
20000,1,20000,300,9,32207
20000,3,20000,3,3,72227
20000,3,20000,3,5,72494
20000,3,20000,3,7,70220
20000,3,20000,3,9,70347
20000,3,20000,5,3,52276
20000,3,20000,5,5,52201
20000,3,20000,5,7,52451
20000,3,20000,5,9,52218
20000,3,20000,10,3,40200
20000,3,20000,10,5,38446
20000,3,20000,10,7,38165
20000,3,20000,10,9,40204
20000,3,20000,30,3,30184
20000,3,20000,30,5,28196
20000,3,20000,30,7,28165
20000,3,20000,30,9,34276
20000,3,20000,50,3,28195
20000,3,20000,50,5,28248
20000,3,20000,50,7,30191
20000,3,20000,50,9,32188
20000,3,20000,100,3,26199
20000,3,20000,100,5,26210
20000,3,20000,100,7,30190
20000,3,20000,100,9,30275
20000,3,20000,300,3,24210
20000,3,20000,300,5,28427
20000,3,20000,300,7,28200
20000,3,20000,300,9,32228
20000,5,20000,5,3,58224
20000,5,20000,5,5,42412
20000,5,20000,5,7,42320
20000,5,20000,5,9,44202
20000,5,20000,10,3,40200
20000,5,20000,10,5,36202
20000,5,20000,10,7,34198
20000,5,20000,10,9,36199
20000,5,20000,30,3,28182
20000,5,20000,30,5,30232
20000,5,20000,30,7,30213
20000,5,20000,30,9,32264
20000,5,20000,50,3,26197
20000,5,20000,50,5,30170
20000,5,20000,50,7,30213
20000,5,20000,50,9,30200
20000,5,20000,100,3,26727
20000,5,20000,100,5,26423
20000,5,20000,100,7,30182
20000,5,20000,100,9,32213
20000,5,20000,300,3,24256
20000,5,20000,300,5,28208
20000,5,20000,300,7,30415
20000,5,20000,300,9,30532
20000,10,20000,10,3,40199
20000,10,20000,10,5,34226
20000,10,20000,10,7,34192
20000,10,20000,10,9,38196
20000,10,20000,30,3,30201
20000,10,20000,30,5,30196
20000,10,20000,30,7,32474
20000,10,20000,30,9,34273
20000,10,20000,50,3,28351
20000,10,20000,50,5,28202
20000,10,20000,50,7,30371
20000,10,20000,50,9,32229
20000,10,20000,100,3,26232
20000,10,20000,100,5,28243
20000,10,20000,100,7,32231
20000,10,20000,100,9,32215
20000,10,20000,300,3,26195
20000,10,20000,300,5,28204
20000,10,20000,300,7,28241
20000,10,20000,300,9,32214
20000,30,20000,30,3,30194
20000,30,20000,30,5,28194
20000,30,20000,30,7,32667
20000,30,20000,30,9,34193
20000,30,20000,50,3,28208
20000,30,20000,50,5,30196
20000,30,20000,50,7,30629
20000,30,20000,50,9,34218
20000,30,20000,100,3,26200
20000,30,20000,100,5,30190
20000,30,20000,100,7,28259
20000,30,20000,100,9,32353
20000,30,20000,300,3,26222
20000,30,20000,300,5,28192
20000,30,20000,300,7,28221
20000,30,20000,300,9,32238
20000,50,20000,50,3,28200
20000,50,20000,50,5,30208
20000,50,20000,50,7,32275
20000,50,20000,50,9,30200
20000,50,20000,100,3,24179
